form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,10,0,0,0,0,20,0,0,1,2,0,39,False,0,2,DEF,3,3.2
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,0,18,0,0,1,1,0,39,False,0,2,DEF,4,3.0
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,0,15,0,0,4,3,0,39,False,0,2,DEF,2,3.6
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,4,0,0,0,0,13,0,0,1,0,0,39,False,0,2,DEF,3,2.9
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,0,11,0,0,0,1,0,39,False,0,2,DEF,3,2.5
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,7,0,0,0,0,9,0,0,2,2,0,39,False,0,2,DEF,3,2.4
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,3,0,0,0,0,7,0,0,4,0,0,39,False,0,2,DEF,3,3.6
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,14,0,0,0,0,37,0,0,1,0,0,38,False,0,2,DEF,3,3.3
,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,0,1,0,0,1,2,0,45,True,0,3,MID,3,3.0
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,8,0,0,0,0,2,0,0,1,0,0,45,False,0,3,MID,3,3.1
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,3,0,0,0,0,7,0,0,4,0,0,44,False,0,3,MID,3,3.6
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,18,0,0,0,0,35,0,0,3,2,0,44,False,0,3,MID,4,3.3
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,20,0,0,0,0,34,0,0,2,0,0,44,False,0,3,MID,3,3.3
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,5,0,0,0,0,32,0,0,3,0,0,44,False,0,3,MID,3,3.5
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,13,0,0,0,0,30,0,0,0,0,0,44,False,0,3,MID,5,2.8
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,17,0,0,0,0,27,0,0,6,0,0,44,False,0,3,MID,2,3.4
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,6,0,0,0,0,25,0,0,5,0,0,44,False,0,3,MID,2,2.9
,1,ARS,1365,1360,1370,5,0,0,1,0,0.01,0.09,0.08,0.13,0,0,1.1,23,19,0,0,0,0,24,0,0,6,0,1,44,False,0,3,MID,3,2.4
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,16,0,0,0,0,22,0,0,2,1,0,44,False,0,3,MID,3,3.2
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,10,0,0,0,0,20,0,0,1,2,0,44,False,0,3,MID,3,3.2
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,11,0,0,0,0,18,0,0,1,1,0,44,False,0,3,MID,4,3.0
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2,0,0,0,0,16,0,0,0,1,0,44,False,0,3,MID,4,3.3
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,12,0,0,0,0,15,0,0,4,3,0,44,False,0,3,MID,2,3.6
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,4,0,0,0,0,13,0,0,1,0,0,44,False,0,3,MID,3,2.9
,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,15,0,0,0,0,11,0,0,0,1,0,44,False,0,3,MID,3,2.5
