draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,red_cards,round,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,6,0,0.5,0.01,0.01,0.0,4,0,0.8,7.2,90,2,0,0,0,2,1,0,4,0.0,-1,1991,45,False,1,257,DEF,4
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,15,0,15.5,0.07,0.1,0.03,4,0,3.3,13.0,90,2,0,0,0,2,1,0,4,4.0,-1,1042,45,False,1,262,DEF,4
0,0.0,14,0,0,0,MUN,1220,1230,1210,3,0,0,0,12,0,11.5,0.01,0.01,0.0,2,0,2.5,13.6,90,18,1,0,0,2,1,0,2,0.0,-1,24614,50,False,0,391,DEF,4
0,0.0,20,0,0,0,WOL,1100,1115,1085,3,0,0,0,11,0,0.3,0.0,0.07,0.07,4,0,4.5,11.0,70,5,0,0,0,2,1,4,1,34.0,-1,4419,45,True,1,551,DEF,3
0,0.0,20,0,0,0,WOL,1100,1115,1085,3,0,0,0,11,0,11.4,0.01,0.01,0.0,4,0,2.3,11.2,90,5,0,0,0,2,1,4,1,0.0,-1,4635,45,True,1,563,DEF,3
0,-1.0,2,0,0,0,AVL,1285,1350,1220,4,0,0,0,0,0,0.7,0.0,0.06,0.06,3,0,5.7,8.6,90,11,1,0,0,4,1,0,3,48.0,-1,501144,46,False,0,36,DEF,4
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,11,0,0.4,0.0,0.0,0.0,5,0,2.3,22.2,73,18,0,0,0,4,1,5,2,0.0,-1,1834,40,True,1,160,DEF,4
0,-3.0,10,0,0,0,FUL,1175,1170,1180,3,0,0,0,6,0,0.2,0.0,0.0,0.0,5,0,1.0,10.0,90,13,0,0,0,4,1,1,5,0.0,-1,3690,45,False,1,271,DEF,5
0,0.0,10,0,0,0,FUL,1175,1170,1180,3,0,0,0,8,0,1.0,0.01,0.01,0.0,5,0,0.9,7.8,90,13,0,0,0,4,1,1,5,0.0,-1,1845,45,False,1,283,DEF,5
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,0,0,0.5,0.0,0.29,0.29,3,0,2.7,5.2,45,18,0,0,0,4,0,5,2,21.0,-1,1262,40,True,1,674,DEF,4
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,0,0,5.3,0.01,0.01,0.0,2,0,0.7,0.0,38,13,0,0,0,6,1,0,2,2.0,-1,2350,40,False,1,23,DEF,5
0,0.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,-1,0,5.6,0.04,0.04,0.0,3,0,1.4,6.2,90,5,1,0,0,6,1,1,3,2.0,-1,668,45,False,0,595,DEF,3
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,22,0,12.8,0.14,0.14,0.0,6,0,3.6,21.4,90,2,0,0,0,7,1,1,6,2.0,-1,6494,44,False,0,151,DEF,4
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,13,0,1.5,0.01,0.01,0.0,6,0,2.5,23.8,90,2,0,0,0,7,1,1,6,0.0,-1,952,44,False,0,153,DEF,4
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,10,0,0.6,0.0,0.02,0.02,2,0,2.4,19.8,90,18,1,0,0,7,1,1,2,4.0,-1,3470,49,False,0,305,DEF,4
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,9,0,21.8,0.29,0.44,0.15,2,0,7.0,23.2,90,20,1,0,0,7,1,1,2,25.0,-1,41872,55,False,0,350,DEF,3
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,-1,0,0.0,0.0,0.0,0.0,1,0,0.1,0.6,45,7,1,0,0,8,1,4,1,0.0,-1,14506,40,True,0,157,DEF,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,6,0,12.2,0.22,0.26,0.04,4,0,3.9,20.0,90,15,0,0,0,9,1,0,4,7.0,-1,17308,45,False,1,234,DEF,3
0,0.0,13,0,0,0,MCI,1355,1360,1350,5,0,0,0,4,0,2.8,0.01,0.01,0.0,1,0,0.7,4.4,90,5,0,0,1,9,1,1,2,0.0,-1,10173,50,True,0,341,DEF,3
0,-2.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,11,0,7.3,0.06,0.06,0.0,4,0,1.8,11.0,90,2,0,0,0,9,1,1,4,0.0,-1,7749,45,False,1,532,DEF,4
0,0.0,8,0,0,0,CRY,1070,1060,1080,3,0,0,0,4,0,1.4,0.01,0.08,0.07,2,0,0.4,0.0,90,18,1,0,0,10,1,2,1,3.0,-1,649,45,True,0,242,DEF,4
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,10,0,0.7,0.1,0.1,0.0,3,0,1.1,6.4,90,2,1,0,0,10,1,1,3,4.0,-1,5328,43,False,0,575,DEF,4
0,0.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,12,0,3.2,0.0,0.0,0.0,6,0,2.2,19.2,90,13,0,0,0,11,1,1,6,0.0,-1,174,45,False,0,70,DEF,5
0,0.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,13,0,0.8,0.01,0.01,0.0,6,0,1.9,18.6,90,13,0,0,0,11,1,1,6,0.0,-1,127,45,False,0,89,DEF,5
0,0.0,18,0,0,0,TOT,1170,1230,1110,4,0,0,0,3,0,0.4,0.03,0.03,0.0,4,0,0.9,7.0,56,7,0,0,0,11,0,4,1,2.0,-1,975,42,True,0,496,DEF,3
0,-1.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,9,0,3.7,0.02,0.02,0.0,6,0,1.7,13.0,90,13,0,0,0,11,1,1,6,0.0,-1,188,45,False,0,595,DEF,5
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,9,0,11.2,0.01,0.01,0.0,4,0,2.4,13.2,90,13,0,0,0,12,1,4,4,0.0,-1,3095,48,True,1,198,DEF,5
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,8,0,10.4,0.01,0.08,0.07,2,0,5.0,19.0,90,19,1,0,0,13,1,2,1,21.0,-1,1392,44,True,0,173,DEF,3
0,-1.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,8,0,11.4,0.01,0.01,0.0,4,0,2.3,12.0,90,15,0,0,0,13,1,1,4,0.0,-1,6384,48,False,1,198,DEF,3
0,-2.5,17,0,0,0,SHU,1040,1060,1020,2,0,0,0,13,0,0.8,0.0,0.0,0.0,5,0,1.5,13.8,90,6,0,0,0,14,1,0,5,0.0,-1,185,43,False,1,471,DEF,2
0,-2.0,17,0,0,0,SHU,1040,1060,1020,2,0,0,0,0,0,0.7,0.0,0.0,0.0,2,0,0.7,6.6,45,6,0,0,0,14,1,0,5,0.0,-1,494,40,False,1,693,DEF,2
0,0.0,15,0,0,0,NEW,1280,1355,1210,3,0,0,0,7,0,0.8,0.01,0.01,0.0,4,0,2.1,14.6,90,18,0,0,0,16,1,1,4,6.0,-1,27203,42,False,1,419,DEF,4
0,0.0,15,0,0,0,NEW,1280,1355,1210,3,0,0,0,13,0,31.4,0.27,0.27,0.0,4,0,5.6,22.6,85,18,0,0,0,16,1,1,4,2.0,-1,70505,70,False,1,430,DEF,4
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,-1,0,1.3,0.0,0.0,0.0,3,0,0.7,5.2,45,10,0,0,0,16,1,0,5,0.0,-1,859,42,False,1,530,DEF,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,8,0,4.1,0.03,0.03,0.0,3,0,1.3,5.0,90,15,1,0,0,22,1,3,1,4.0,-1,28748,51,True,0,32,DEF,3
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,-3,0,0.8,0.0,0.0,0.0,2,0,0.7,6.2,45,11,0,0,0,22,1,1,4,0.0,-1,17905,54,False,1,195,DEF,4
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,10,0,0.8,0.0,0.0,0.0,4,0,1.6,15.0,90,12,0,0,0,22,1,0,4,0.0,-1,109,43,False,1,606,DEF,2
0,-2.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,13,0,2.0,0.01,0.01,0.0,4,0,2.0,18.2,90,11,0,0,0,22,1,1,4,0.0,-1,5486,49,False,1,611,DEF,4
0,0.0,1,0,0,0,ARS,1350,1330,1370,5,0,0,0,1,0,3.9,0.01,0.15,0.14,1,0,2.5,10.2,90,11,1,0,0,23,1,1,3,11.0,-1,48723,50,True,1,5,DEF,4
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,1,0,0.2,0.0,0.0,0.0,4,0,0.9,6.6,63,12,0,0,0,23,1,4,4,2.0,-1,75735,44,True,1,407,DEF,2
0,-4.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,0,0,0.7,0.05,0.07,0.02,5,0,0.3,0.0,90,2,0,0,0,23,1,5,0,4.0,-1,222,45,True,1,476,DEF,4
0,0.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,1,0,0.1,0.0,0.0,0.0,5,0,0.0,0.0,49,2,0,0,0,23,1,5,0,2.0,-1,163,39,True,0,487,DEF,4
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,18,0,11.8,0.02,0.02,0.0,4,0,3.3,21.0,90,5,0,0,0,23,1,1,4,0.0,-1,1196,45,False,1,792,DEF,3
0,0.0,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,9,0,0.7,0.0,0.0,0.0,6,0,1.6,15.6,90,1,0,0,0,24,1,6,0,0.0,-1,814,44,True,0,522,DEF,5
0,-2.0,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,6,0,2.6,0.01,0.01,0.0,6,0,1.7,14.8,90,1,0,0,0,24,1,6,0,0.0,-1,2947,46,True,0,528,DEF,5
0,-1.5,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,11,0,2.2,0.0,0.0,0.0,6,0,1.4,11.6,75,1,0,0,0,24,1,6,0,0.0,-1,3873,45,True,0,532,DEF,5
0,0.0,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,7,0,1.3,0.0,0.03,0.03,6,0,1.2,8.2,90,1,0,0,0,24,1,6,0,2.0,-1,193,44,True,0,536,DEF,5
0,0.0,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,4,0,0.3,0.0,0.0,0.0,4,0,0.3,2.6,45,1,0,0,0,24,1,6,0,0.0,-1,1938,45,True,0,544,DEF,5
0,-3.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,3,0,0.8,0.0,0.0,0.0,5,0,0.7,4.4,79,1,0,0,0,25,1,5,0,2.0,-1,2326,40,True,1,805,DEF,5
0,-1.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,3,0,12.2,0.09,0.09,0.0,2,0,2.3,7.0,58,16,0,0,0,26,1,2,4,4.0,-1,146433,52,True,1,32,DEF,3
0,0.0,4,0,0,0,BRE,1100,1150,1055,3,0,0,0,5,0,2.7,0.03,0.14,0.11,4,0,1.8,11.4,90,19,0,0,0,26,1,2,4,4.0,-1,121,43,False,1,121,DEF,3
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,-1,0,0.2,0.0,0.0,0.0,3,0,0.3,2.6,45,2,0,0,0,26,1,2,4,0.0,-1,725,44,False,1,445,DEF,4
0,-3.0,4,0,0,0,BRE,1100,1150,1055,3,0,0,0,3,0,15.5,0.11,0.15,0.04,4,0,4.2,18.0,72,19,0,0,0,26,1,2,4,8.0,-1,51058,44,False,1,508,DEF,3
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,5,0,0.4,0.0,0.0,0.0,3,0,0.6,5.2,45,2,0,0,0,26,1,2,4,0.0,-1,3744,45,False,1,696,DEF,4
0,0.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,12,0,0.1,0.0,0.0,0.0,6,0,2.1,20.4,90,1,0,0,0,27,1,6,0,0.0,-1,2973,39,True,0,27,DEF,5
0,-1.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,-3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,27,0,1,0,0.0,-1,81,44,True,1,445,DEF,4
0,-2.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,8,0,0.3,0.0,0.0,0.0,6,0,1.6,15.4,63,1,0,0,0,27,1,6,0,0.0,-1,171,43,True,0,471,DEF,5
0,-2.333333333333333,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,15,0,0.2,0.0,0.0,0.0,6,0,3.2,31.6,90,1,0,0,0,27,1,6,0,0.0,-1,85,43,True,0,576,DEF,5
0,-2.0,19,0,0,0,WHU,1100,1150,1055,3,0,0,0,5,0,10.5,0.01,0.2,0.19,2,0,4.6,17.6,90,6,1,0,0,28,1,2,2,18.0,-1,983,45,True,0,676,DEF,2
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,4,0,0.5,0.0,0.0,0.0,1,0,1.0,9.4,90,5,1,0,0,28,1,0,1,0.0,-1,110,45,False,1,711,DEF,3
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,5,0,2.0,0.02,0.02,0.0,2,0,0.7,5.2,90,3,1,0,0,30,1,1,2,0.0,-1,179,44,False,0,247,DEF,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,14,0,4.9,0.04,0.04,0.0,2,0,3.2,25.2,90,18,1,0,0,30,1,1,2,2.0,-1,2861,40,False,0,602,DEF,4
0,-2.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,10,0,16.2,0.17,0.22,0.05,2,0,2.7,8.8,90,1,1,0,0,31,1,0,2,2.0,-1,66,40,False,0,798,DEF,5
0,-1.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.01,0.01,0.0,1,0,0.3,2.8,66,9,0,0,1,32,1,0,1,0.0,-1,5209,44,False,0,173,DEF,3
0,-1.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,9,0,0.7,0.01,0.07,0.06,3,0,1.6,11.0,90,18,1,0,0,32,1,1,3,4.0,-1,852,45,False,0,696,DEF,4
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,2,0,3.3,0.0,0.1,0.1,4,0,1.6,2.0,56,7,0,0,0,33,1,0,6,11.0,-1,44172,43,False,0,245,DEF,3
0,-1.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,6,0,11.1,0.56,0.56,0.0,4,0,1.7,4.2,45,7,0,0,0,33,1,0,6,2.0,-1,1020,44,False,0,247,DEF,3
0,-1.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,0,0,0.6,0.0,0.0,0.0,2,0,0.5,2.2,33,7,0,0,0,33,0,0,6,2.0,-1,77,43,False,1,257,DEF,3
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,5,0,4.8,0.01,0.03,0.02,6,0,1.6,5.6,90,7,0,0,0,33,1,0,6,6.0,-1,49395,46,False,0,260,DEF,3
0,-3.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,10,0,4.9,0.23,0.23,0.0,4,0,1.5,10.2,90,15,0,0,0,33,1,0,4,0.0,-1,14984,52,False,1,511,DEF,3
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,14,0,1.1,0.01,0.01,0.0,4,0,1.7,15.8,90,15,0,0,0,33,1,0,4,0.0,-1,16797,44,False,1,639,DEF,3
0,-1.0,5,0,0,0,BHA,1100,1135,1070,3,0,0,0,-2,0,0.5,0.0,0.0,0.0,3,0,0.4,1.4,45,13,0,0,0,34,1,4,0,2.0,-1,376,43,True,1,151,DEF,5
0,-1.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,9,0,12.7,0.08,0.15,0.07,5,0,4.7,24.8,90,1,0,0,0,34,1,0,5,9.0,-1,9544,48,False,1,198,DEF,5
0,-4.0,17,0,0,0,SHU,1040,1060,1020,2,0,0,0,5,0,0.3,0.0,0.0,0.0,4,0,0.8,7.4,90,14,0,0,0,34,1,2,4,0.0,-1,3221,40,False,1,255,DEF,3
0,0.0,12,0,0,0,LUT,1055,1090,1020,2,0,0,0,8,0,2.8,0.02,0.05,0.03,5,0,3.9,17.2,90,4,0,0,0,34,1,5,1,19.0,-1,18483,45,True,1,321,DEF,3
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,5,0,0.0,0.0,0.04,0.04,4,0,1.2,5.8,45,8,0,0,0,34,1,2,5,6.0,-1,196,42,False,0,577,DEF,3
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,10,0,3.7,0.02,0.02,0.0,5,0,1.6,12.6,77,1,0,0,0,34,1,0,5,0.0,-1,2739,40,False,1,716,DEF,5
0,-1.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,15,0,43.1,0.24,0.36,0.12,2,0,6.5,11.4,90,2,1,0,0,35,1,2,2,10.0,-1,70539,48,False,0,198,DEF,4
