draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,0.0,1,0,0,0,ARS,1350,1330,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,23,0,0,1,3,0.0,0,303,45,True,0,17,GK,4
0,0.0,1,0,0,0,ARS,1350,1330,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,23,0,0,1,3,0.0,0,0,40,True,0,18,GK,4
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,23,0,0,1,1,0.0,0,12028,39,False,0,28,GK,3
0,0.0,2,0,0,0,AVL,1285,1350,1220,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,23,0,0,5,0,0.0,0,197,39,False,0,53,GK,2
0,0.0,2,0,0,0,AVL,1285,1350,1220,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,23,0,0,5,0,0.0,0,0,40,False,0,57,GK,2
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,23,0,0,1,1,0.0,0,68,40,True,0,80,GK,3
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,23,0,0,1,1,0.0,0,71,40,True,0,88,GK,3
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,23,0,0,3,1,0.0,0,63,39,True,0,91,GK,5
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,23,0,0,3,1,0.0,0,0,40,True,0,97,GK,5
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,23,0,0,3,1,0.0,0,248,39,True,0,116,GK,5
0,0.0,5,0,0,0,BHA,1100,1135,1070,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,23,0,0,1,4,0.0,0,83,39,True,0,141,GK,3
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,23,0,0,4,2,0.0,0,69,45,True,0,145,GK,3
0,0.0,5,0,0,0,BHA,1100,1135,1070,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,23,0,0,1,4,0.0,0,0,40,True,0,147,GK,3
0,0.0,5,0,0,0,BHA,1100,1135,1070,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,23,0,0,1,4,0.0,0,6323,42,True,0,148,GK,3
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,23,0,0,2,2,0.0,0,36,39,True,0,169,GK,3
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,23,0,0,2,2,0.0,0,55,43,True,0,172,GK,3
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,23,0,0,2,2,0.0,0,0,40,True,0,175,GK,3
0,0.0,6,0,0,0,BUR,1045,1040,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,23,0,0,2,2,0.0,0,159,39,True,0,181,GK,3
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,23,0,0,4,2,0.0,0,0,50,True,0,187,GK,3
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,23,0,0,4,2,0.0,0,68,40,True,0,192,GK,3
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,23,0,0,4,2,0.0,0,0,40,True,0,215,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,23,0,0,1,4,0.0,0,0,44,False,0,227,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,23,0,0,1,4,0.0,0,845,45,False,0,230,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,23,0,0,1,4,0.0,0,97,39,False,0,233,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,23,0,0,1,4,0.0,0,437,39,False,0,243,GK,3
0,0.0,9,0,0,0,EVE,1095,1065,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,23,0,0,2,2,0.0,0,131,39,True,0,266,GK,4
0,0.0,10,0,0,0,FUL,1175,1170,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,23,0,0,2,2,0.0,0,205,39,False,0,284,GK,2
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,23,0,0,1,3,0.0,0,73,39,False,0,289,GK,5
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,23,0,0,1,3,0.0,0,11625,37,False,0,301,GK,5
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,23,0,0,4,4,0.0,0,0,40,False,0,323,GK,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,23,0,0,4,4,0.0,0,85,43,False,0,335,GK,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,23,0,0,4,4,0.0,0,0,40,False,0,338,GK,3
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,23,0,0,3,1,0.0,0,102,38,False,0,347,GK,3
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,23,0,0,3,1,0.0,0,1272,38,False,0,361,GK,3
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,23,0,0,3,1,0.0,0,4,39,False,0,367,GK,3
0,0.0,14,0,0,0,MUN,1125,1120,1130,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,23,0,0,0,3,0.0,0,38,40,True,0,384,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,12,0,0.0,1.53,4,0,2.0,19.6,90,5,0,0,0,0,23,2,1,1,4,0.0,0,1187,44,False,0,385,GK,3
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,23,0,0,4,4,0.0,0,0,40,True,0,408,GK,2
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,23,0,0,4,4,0.0,0,51,39,True,0,411,GK,2
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,23,0,0,4,4,0.0,0,179,53,True,0,424,GK,2
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,23,0,0,1,1,0.0,0,128,40,False,0,448,GK,3
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,23,0,0,1,1,0.0,0,32,43,False,0,449,GK,3
0,0.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,23,0,0,5,0,0.0,0,75,39,True,0,472,GK,4
0,0.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,23,0,0,5,0,0.0,0,107,40,True,0,479,GK,4
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,23,0,0,2,2,0.0,0,70,39,False,0,491,GK,3
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,23,0,0,2,2,0.0,0,3146,38,False,0,498,GK,3
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,23,0,0,2,2,0.0,0,77,47,False,0,502,GK,3
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,23,0,0,2,2,0.0,0,59,39,False,0,521,GK,3
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,3,0,0.0,0.63,2,0,0.2,1.8,45,14,0,0,0,0,23,0,0,0,3,0.0,0,329,42,False,0,533,GK,3
0,0.0,20,0,0,0,WOL,1100,1100,1105,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,23,0,0,4,2,0.0,0,509,39,False,0,546,GK,3
0,0.0,20,0,0,0,WOL,1100,1100,1105,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,23,0,0,4,2,0.0,0,382,39,False,0,564,GK,3
0,0.0,20,0,0,0,WOL,1100,1100,1105,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,23,0,0,4,2,0.0,0,0,40,False,0,571,GK,3
0,0.0,9,0,0,0,EVE,1095,1065,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,23,0,0,2,2,0.0,0,67,39,True,0,579,GK,4
