draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,-2.0,8,0,0,0,CRY,1070,1060,1080,3,0,0,0,-1,0,0.0,1.27,2,0,0.0,0.0,90,19,1,0,0,0,34,0,1,2,5,0.0,-1,174444,44,True,0,385,GK,3
0,0.0,1,0,0,0,ARS,1350,1330,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,34,0,0,0,5,0.0,0,574,45,True,0,17,GK,3
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,34,0,0,2,0,0.0,0,574,45,False,0,17,GK,3
0,0.0,1,0,0,0,ARS,1350,1330,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,34,0,0,0,5,0.0,0,0,40,True,0,18,GK,3
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,34,0,0,2,0,0.0,0,0,40,False,0,18,GK,3
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,34,0,0,0,2,0.0,0,21935,38,False,0,28,GK,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,34,0,0,1,3,0.0,0,749,39,True,0,53,GK,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,34,0,0,1,3,0.0,0,0,40,True,0,57,GK,3
0,0.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,34,0,0,1,0,0.0,0,58758,47,False,0,77,GK,3
0,0.0,3,0,0,0,BOU,1100,1075,1130,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,34,0,0,1,3,0.0,0,175,39,False,0,80,GK,4
