draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,3,2,0.0,0,242,45,False,0,17,GK,4
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,3,2,0.0,0,0,40,False,0,18,GK,4
0,0.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,35,0,0,2,0,0.0,0,13597,38,True,0,28,GK,5
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,8,0,0.0,0.85,2,0,1.4,14.2,45,7,0,0,0,0,35,2,0,2,2,0.0,0,403,39,True,0,53,GK,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,35,0,0,2,2,0.0,0,0,40,True,0,57,GK,3
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,35,0,0,0,3,0.0,0,2809,47,True,0,77,GK,3
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,35,0,0,0,3,0.0,0,89,39,True,0,80,GK,3
0,0.0,4,0,0,0,BRE,1100,1150,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,35,0,0,0,1,0.0,0,28,39,False,0,91,GK,3
0,0.0,4,0,0,0,BRE,1100,1150,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,35,0,0,0,1,0.0,0,0,40,False,0,97,GK,3
0,0.0,4,0,0,0,BRE,1100,1150,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,35,0,0,0,1,0.0,0,197,39,False,0,116,GK,3
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,35,0,0,0,3,0.0,0,96,39,False,0,141,GK,3
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,35,0,0,2,2,0.0,0,670,45,False,0,145,GK,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,0,2,0.0,0,670,45,True,0,145,GK,4
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,35,0,0,0,3,0.0,0,0,40,False,0,147,GK,3
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,35,0,0,0,3,0.0,0,4316,41,False,0,148,GK,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,35,0,0,1,1,0.0,0,0,39,False,0,169,GK,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,35,0,0,1,1,0.0,0,0,40,False,0,175,GK,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,35,0,0,1,1,0.0,0,208,39,False,0,181,GK,3
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,35,0,0,2,2,0.0,0,0,50,False,0,187,GK,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,0,2,0.0,0,0,50,True,0,187,GK,4
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,35,0,0,2,2,0.0,0,84,40,False,0,192,GK,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,0,2,0.0,0,84,40,True,0,192,GK,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,35,0,0,0,2,0.0,0,0,40,True,0,215,GK,4
0,0.0,7,0,0,0,CHE,1190,1230,1150,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,35,0,0,2,2,0.0,0,0,40,False,0,215,GK,4
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,35,0,0,1,1,0.0,0,0,44,False,0,227,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,35,0,0,1,1,0.0,0,129,43,False,0,230,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,35,0,0,1,1,0.0,0,112,39,False,0,233,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,35,0,0,1,1,0.0,0,398,39,False,0,243,GK,3
0,0.0,9,0,0,0,EVE,1095,1065,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,35,0,0,0,1,0.0,0,126,39,True,0,266,GK,3
0,0.0,10,0,0,0,FUL,1055,1060,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,35,0,0,1,1,0.0,0,257,39,True,0,284,GK,3
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,35,0,0,2,2,0.0,0,99,39,False,0,289,GK,3
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,35,0,0,2,2,0.0,0,3416,38,False,0,301,GK,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,35,0,0,1,2,0.0,0,0,40,False,0,323,GK,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,35,0,0,1,2,0.0,0,59,42,False,0,335,GK,3
0,0.0,12,0,0,0,LUT,1090,1120,1060,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,35,0,0,1,2,0.0,0,0,40,False,0,338,GK,3
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,35,0,0,2,0,0.0,0,256,38,False,0,347,GK,3
0,0.0,13,0,0,0,MCI,1365,1370,1360,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,35,0,0,2,0,0.0,0,0,39,False,0,367,GK,3
0,0.0,14,0,0,0,MUN,1125,1120,1130,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,35,0,0,1,1,0.0,0,76,39,True,0,384,GK,2
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,35,0,0,1,5,0.0,0,0,40,True,0,408,GK,2
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,35,0,0,1,5,0.0,0,27,39,True,0,411,GK,2
0,0.0,15,0,0,0,NEW,1105,1160,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,35,0,0,1,5,0.0,0,435,53,True,0,424,GK,2
0,0.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,35,0,0,2,0,0.0,0,133,39,True,0,448,GK,5
0,0.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,35,0,0,2,0,0.0,0,0,43,True,0,449,GK,5
0,0.0,17,0,0,0,SHU,1040,1060,1020,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,35,0,0,1,5,0.0,0,173,39,False,0,472,GK,3
0,0.0,17,0,0,0,SHU,1040,1060,1020,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,35,0,0,1,5,0.0,0,157,40,False,0,479,GK,3
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,35,0,0,0,2,0.0,0,90,39,False,0,491,GK,3
0,0.0,18,0,0,0,TOT,1170,1230,1110,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,35,0,0,3,2,0.0,0,90,39,True,0,491,GK,5
0,0.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,35,0,0,0,2,0.0,0,547,38,False,0,498,GK,3
