form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0,13,0,0,1,0,0,40,False,0,18,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3333333333333333,16,NFO,1065,1080,1050,3,0,0,0,0,0.0,0,0,0.0,0,5,0,0,0,0,13,0,0,3,2,0,41,True,0,28,GK,3,3.1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,13,0,0,2,1,0,40,False,0,53,GK,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,18,0,0,0,0,13,0,0,2,1,0,40,False,0,57,GK,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,17,0,0,0,0,13,0,0,3,1,0,40,False,0,80,GK,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,17,0,0,0,0,13,0,0,3,1,0,40,False,0,88,GK,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,13,0,0,1,0,0,39,True,0,91,GK,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,13,0,0,1,0,0,40,True,0,97,GK,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0,13,0,0,1,0,0,49,False,0,113,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,13,0,0,1,0,0,39,True,0,116,GK,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,16,0,0,0,0,13,0,0,3,2,0,39,False,0,141,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1190,1230,1150,3,0,0,12,0,2.28,4,0,0.8,90,15,0,0,0,0,13,1,1,1,4,0,46,False,0,145,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,16,0,0,0,0,13,0,0,3,2,0,40,False,0,147,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,16,0,0,0,0,13,0,0,3,2,0,43,False,0,148,GK,3,3.0,0.0,0.0,0.0,0.395,4.0,0.925,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,13,0,0,2,1,0,39,True,0,169,GK,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,13,0,0,2,1,0,43,True,0,172,GK,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,13,0,0,2,1,0,40,True,0,175,GK,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,19,0,0,0,0,13,0,0,2,1,0,40,True,0,181,GK,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1190,1230,1150,3,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,13,0,0,1,4,0,50,False,0,187,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1190,1230,1150,3,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,13,0,0,1,4,0,40,False,0,192,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1190,1230,1150,3,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,13,0,0,1,4,0,40,False,0,215,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8,CRY,1100,1085,1120,3,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,13,0,0,1,2,0,44,False,0,227,GK,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
