draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,30,0,0,0,0,0.0,0,612,45,False,0,17,GK,5
0,0.0,1,0,0,0,ARS,1365,1360,1370,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,30,0,0,0,0,0.0,0,0,40,False,0,18,GK,5
0,0.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,30,0,0,1,1,0.0,0,10388,38,True,0,28,GK,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,30,0,0,0,2,0.0,0,138,39,True,0,53,GK,3
0,0.0,2,0,0,0,AVL,1160,1180,1140,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,30,0,0,0,2,0.0,0,0,40,True,0,57,GK,3
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,30,0,0,1,2,0.0,0,105,40,True,0,80,GK,3
0,0.0,3,0,0,0,BOU,1100,1145,1055,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,30,0,0,1,2,0.0,0,122,40,True,0,88,GK,3
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,30,0,0,1,1,0.0,0,42,39,True,0,91,GK,3
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,30,0,0,1,1,0.0,0,0,40,True,0,97,GK,3
0,0.0,4,0,0,0,BRE,1100,1090,1110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,30,0,0,1,1,0.0,0,237,39,True,0,116,GK,3
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,30,0,0,1,2,0.0,0,82,39,False,0,141,GK,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,30,0,0,2,2,0.0,0,2145,45,True,0,145,GK,2
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,30,0,0,1,2,0.0,0,0,40,False,0,147,GK,4
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,30,0,0,1,2,0.0,0,1311,41,False,0,148,GK,4
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,30,0,0,2,2,0.0,0,0,39,False,0,169,GK,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,30,0,0,2,2,0.0,0,0,40,False,0,175,GK,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,30,0,0,2,2,0.0,0,219,39,False,0,181,GK,3
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,30,0,0,2,2,0.0,0,0,50,True,0,187,GK,2
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,30,0,0,2,2,0.0,0,88,40,True,0,192,GK,2
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,30,0,0,2,2,0.0,0,0,40,True,0,215,GK,2
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,30,0,0,1,1,0.0,0,0,44,False,0,227,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,30,0,0,1,1,0.0,0,3273,44,False,0,230,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,30,0,0,1,1,0.0,0,85,39,False,0,233,GK,3
0,0.0,8,0,0,0,CRY,1100,1085,1120,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,30,0,0,1,1,0.0,0,387,39,False,0,243,GK,3
0,0.0,9,0,0,0,EVE,1100,1080,1125,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,30,0,0,1,2,0.0,0,127,39,False,0,266,GK,3
0,0.0,10,0,0,0,FUL,1175,1170,1180,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,30,0,0,3,3,0.0,0,229,39,False,0,284,GK,2
0,0.0,11,0,0,0,LIV,1240,1270,1210,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,30,0,0,1,2,0.0,0,151,39,True,0,289,GK,3
